"Id_produktu","Nazwa","Id_kategorii","Cena"
"1","LG 27GL850-B Nano IPS 10HDR","1","2149"
"2","PHILIPS 243V7QDSB/00","1","439"
"3","SAMSUNG Odyssey LC27G75TQSUXEN","1","2799"
"4","MSI Optix G24C4","1","899.99"
"5","DELL P2419H 210-APWU","1","669.99"
"6","SAMSUNG Curved LC27F396FHUXEN","1","749"
"7","AOC C32G1","1","999.99"
"8","PHILIPS 223V5LHSB2/00","1","329"
"9","LG 27GN750-B","1","1699"
"10","SAMSUNG Curved LC24RG50FQUXEN","1","769.9"
"11","ASUS ROG Strix XG27VQ","1","1699"
"12","SAMSUNG LS24F354FHUXEN","1","399"
"13","HP Neverstop 1200w","2","999.99"
"14","HP LaserJet Pro M28a","2","449"
"15","BROTHER DCP-1622WE","2","638"
"16","HP Laser MFP M135a","2","439"
"17","HP Color LaserJet Pro MFP M282nw","2","1399"
"18","CANON i-SENSYS MF742CDW","2","1660"
"19","BROTHER DCP-B7520DW","2","1025.71"
"20","BROTHER MFC-L5750DW","2","2156"
"21","CANON Pixma TS705","2","319"
"22","CANON Pixma IX6850","2","809"
"23","HP OfficeJet Pro 8210 (D9L63A)","2","405.5"
"24","LEXMARK B2338dw","2","449.9"
"25","SEAGATE BarraCuda 1TB HDD","3","199.9"
"26","WD Red WD20EFAX 2TB HDD","3","380.75"
"27","TOSHIBA P300 1TB HDD Bulk","3","189.9"
"28","SANDISK Plus 240GB SSD","3","169.9"
"29","GOODRAM CX400 512GB SSD","3","256"
"30","PNY CS900 240GB SSD","3","139"
"31","SAMSUNG 860 QVO 1TB SSD","3","479.9"
"32","CRUCIAL MX500 500GB SSD","3","290.6"
"33","SANDISK Extreme Portable 500GB SSD","3","389"
"34","PNY Elite 240GB SSD","3","189"
"35","TOSHIBA Canvio Basics 2TB HDD","3","299"
"36","SEAGATE Backup Plus Portable 4TB HDD","3","451.09"
"37","D-LINK DIR-853","4","249"
"38","ASUS RT-AC1750U","4","399.99"
"39","ASUS RT-AC1300G Plus V2","4","239.99"
"40","TP-LINK TL-WR841N","4","69"
"41","TP-LINK Archer VR400","4","289"
"42","ASUS DSL-N16","4","149.99"
"43","TP-LINK TD-W8961N","4","99.99"
"44","TP-LINK TL-WN881ND","4","59.99"
"45","ASUS PCE-AC58BT","4","289.99"
"46","ZTE MF710M 3G","4","79.99"
"47","HUAWEI E3372 LTE","4","149.9"
"48","D-LINK DGS-105","4","74"
"49","ASUS WT425","5","89"
"50","LOGITECH M185","5","48"
"51","RAPOO M100","5","59.99"
"52","MAD DOG GM700","5","149"
"53","DeathAdder Essential","5","149.99"
"54","GENESIS Krypton 150","5","49.99"
"55","MSI Clutch GM11","5","119"
"56","LOGITECH G Pro (910-005272)","5","539"
"57","STEELSERIES Rival 600","5","299.9"
"58","ZOWIE EC1-A WHITE","5","329.99"
"59","MAD DOG GM701W Biały","5","149.99"
"60","RAZER Lancehead Tournament Edition","5","329"
"61","SPC GEAR GK550 Omnis Kailh","6","279"
"62","SAVIO Tempest RX TKL Outemu Brown","6","122.99"
"63","MAD DOG GK801","6","179.99"
"64","A4TECH Bloody B314","6","122.57"
"65","GENESIS Rhod 600 RGB","6","149"
"66","STEELSERIES Apex 5","6","479"
"67","MSI Vigor GK30","6","189.99"
"68","LOGITECH K400 Plus","6","159"
"69","GENESIS Rhod 400 RGB","6","79.04"
"70","NATEC Barracuda Slim","6","39.99"
"71","LOGITECH Wireless Keyboard K360","6","146"
"72","LOGITECH K120","6","49.99"
"73","GIGABYTE GeForce GTX1660 Super OC 6GB","7","1089"
"74","XFX Radeon RX570 RS 8GB","7","779"
"75","PNY GeForce GTX 1660 Super 6GB Dual Fan","7","1070"
"76","MSI Geforce RTX 2070 Super Gaming X Trio 8GB","7","2719"
"77","GIGABYTE GeForce GTX 1650 Super Windforce OC 4GB","7","849"
"78","XFX Radeon RX 580 GTS XXX Edition 8GB","7","849"
"79","ASUS Radeon RX 580","7","859"
"80","GIGABYTE GeForce GTX 1660 Gaming OC 6G","7","1069"
"81","POWERCOLOR Radeon RX 5700 Red Devil 8GB","7","1919"
"82","PNY GeForce RTX 2080 Super Gaming 8GB","7","3506.85"
"83","ASUS GeForce Rog Strix GTX1650 4GB","7","839.99"
"84","MSI GeForce GTX 1050 Ti 4GT OC","7","699.69"
"85","MSI B450 Tomahawk Max","8","499"
"86","ASUS Rog Strix B450-F Gaming","8","629"
"87","GIGABYTE B450 Aorus Elite","8","469"
"88","ASUS Prime B360-PLUS","8","409"
"89","GIGABYTE GA-A320M-H","8","249"
"90","ASUS TUF Z390-PLUS Gaming","8","632.22"
"91","GIGABYTE Z390 Gaming X","8","649"
"92","MSI MPG X570 Gaming Pro Carbon Wifi","8","1229"
"93","GIGABYTE X570 UD","8","639"
"94","GIGABYTE Aorus B450 PRO","8","579"
"95","GIGABYTE B450M S2H","8","294.39"
"96","GIGABYTE GA-AB350M-DS3H V2","8","249.99"
"97","AMD Ryzen 5 3600","9","839"
"98","AMD Ryzen 7 3700X","9","1389"
"99","INTEL Core i5-10400","9","932.06"
"100","INTEL Core i5-9600KF","9","869"
"101","AMD Ryzen 7 3800X","9","1479"
"102","AMD Ryzen 9 3900X","9","1939"
"103","AMD Ryzen 3 3100","9","507.95"
"104","INTEL Core i5-9400F (BX80684I59400F)","9","685"
"105","INTEL Core i9-9900K (BX80684I99900K)","9","2312.95"
"106","AMD Ryzen 3 3200G","9","405.15"
"107","INTEL Core i7-10700","9","1699"
"108","AMD Ryzen 5 3600XT","9","1149"
"109","RAM HYPERX Fury RGB 16GB 2666MHz","10","339.99"
"110","GOODRAM IR-X3000D464L16S/8G","10","169"
"111","RAM PNY 8GB 2666MHz","10","129"
"112","RAM CRUCIAL Ballistix RGB 16GB 3200MHz","10","453.31"
"113","RAM TEAM GROUP XCalibur 16GB 3600MHz","10","629.99"
"114","RAM PATRIOT Viper Steel 16GB 4000MHz","10","539"
